strategy_name,train_window_days,test_window_days,transaction_cost_bps,strategy_gross_cumulative_return,strategy_net_cumulative_return,buy_hold_cumulative_return,strategy_gross_sharpe,strategy_net_sharpe,buy_hold_sharpe,avg_bullish_probability,threshold,turnover_total,avg_daily_turnover,total_transaction_cost,cost_drag
threshold_0.70,1250,20,10,0.06553154855301235,-0.12270215082849745,1.4248974482173358,0.14799946628444283,-0.047695651236527775,0.6755297860203742,0.2372404274335349,0.7,194.0,0.13108108108108107,0.194,0.1882336993815098
probability_weighted,1250,20,10,0.04585963574728735,-0.13247472906839608,1.4248974482173358,0.12923057617465786,-0.05865232132235517,0.6755297860203742,0.2372404274335349,,186.58576982044443,0.1260714660948949,0.18658576982044442,0.17833436481568343
threshold_0.60,1250,20,10,0.06531398566372149,-0.14711838680705114,1.4248974482173358,0.14801057777404641,-0.07374675674329573,0.6755297860203742,0.2372404274335349,0.6,222.0,0.15,0.222,0.21243237247077262
threshold_0.50,1250,20,10,0.05950218029047982,-0.16190208036061016,1.4248974482173358,0.14269477218831875,-0.08982187139747089,0.6755297860203742,0.2372404274335349,0.5,234.0,0.1581081081081081,0.234,0.22140426065108998
